contig,id,name,number_mismatches,alignment_length,contig_length,adjusted_identity
k81_13,gb|DD098716|Strain|UNKNOWN-DD098716|Description|A,gb_DD098716_Strain_UNKNOWN-DD098716_Description_A_method_to_increase_antigens_produced_from_DNA_vaccines_a_method_for_administration_of_DNA_vaccines_and_a_method_for_detection_of_antigens_produced_from_DNA_vaccines__Country__ncbiId_DD098716_1_vipr-id_597318,20,273,273,92.673992674
k81_13,gb|GM839825|Strain|UNKNOWN-GM839825|Description|Sequence,gb_GM839825_Strain_UNKNOWN-GM839825_Description_Sequence_17_from_Patent_WO2008122598__Country__ncbiId_GM839825_1_vipr-id_691725,20,273,273,92.673992674
k81_13,gb|FB361100|Strain|patent,gb_FB361100_Strain_patent_WO2006110762_19_Description_Sequence_19_from_Patent_WO2006110762__Country__ncbiId_FB361100_1_vipr-id_300223,20,273,273,92.673992674
k81_13,gb|JC486655|Strain|UNKNOWN-JC486655|Description|Sequence,gb_JC486655_Strain_UNKNOWN-JC486655_Description_Sequence_18_from_Patent_EP2702159__Country__ncbiId_JC486655_1_vipr-id_1218621,20,273,273,92.673992674
k81_13,gb|JB980447|Strain|UNKNOWN-JB980447|Description|Sequence,gb_JB980447_Strain_UNKNOWN-JB980447_Description_Sequence_25_from_Patent_WO2014005959__Country__ncbiId_JB980447_1_vipr-id_1108964,20,273,273,92.673992674
k81_13,gb|AY744150|Strain|Tonga/74|Description|Dengue,gb_AY744150_Strain_Tonga/74_Description_Dengue_virus_type_2_vector_p4(delta30)-4995_complete_sequence__Country_Tonga_ncbiId_AY744150_1_vipr-id_383787,20,273,273,92.673992674
k81_13,gb|BD432985|Strain|UNKNOWN-BD432985|Description|RESCUE,gb_BD432985_Strain_UNKNOWN-BD432985_Description_RESCUE_OF_CANINE_DISTEMPER_VIRUS_FROM_cDNA__Country__ncbiId_BD432985_1_vipr-id_317812,20,273,273,92.673992674
k81_13,gb|HZ385865|Strain|UNKNOWN-HZ385865|Description|JP,gb_HZ385865_Strain_UNKNOWN-HZ385865_Description_JP_2015522581-A/5_COMPLEXES_OF_CYTOMEGALOVIRUS_PROTEINS__Country__ncbiId_HZ385865_1_vipr-id_1435902,20,273,273,92.673992674
k81_13,gb|HW153886|Strain|UNKNOWN-HW153886|Description|JP,gb_HW153886_Strain_UNKNOWN-HW153886_Description_JP_2013507935-A/13_RECOMBINANT_MODIFIED_VACCINIA_ANKARA_(MVA)_VACCINIA_VIRUS_CONTAINING_RESTRUCTURED_INSERTION_SITES__Country__ncbiId_HW153886_1_vipr-id_1012558,20,273,273,92.673992674
k81_13,gb|LG048543|Strain|UNKNOWN-LG048543|Description|KR,gb_LG048543_Strain_UNKNOWN-LG048543_Description_KR_1020150031322-A/26_COMPLEXES_OF_CYTOMEGALOVIRUS_PROTEINS__Country__ncbiId_LG048543_1_vipr-id_1428743,20,273,273,92.673992674
k81_13,gb|BD366421|Strain|UNKNOWN-BD366421|Description|ATTENUATED,gb_BD366421_Strain_UNKNOWN-BD366421_Description_ATTENUATED_FORMS_OF_BOVINE_VIRAL_DIARRHEA_VIRUS__Country__ncbiId_BD366421_1_vipr-id_315528,20,273,273,92.673992674
k81_13,gb|FB361104|Strain|UNKNOWN-FB361104|Description|Sequence,gb_FB361104_Strain_UNKNOWN-FB361104_Description_Sequence_23_from_Patent_WO2006110762__Country__ncbiId_FB361104_1_vipr-id_493587,20,273,273,92.673992674
k81_13,gb|AY526355|Strain|UNKNOWN-AY526355|Description|Cloning,gb_AY526355_Strain_UNKNOWN-AY526355_Description_Cloning_vector_pBR-XJ160_complete_sequence__Country_China_ncbiId_AY526355_1_vipr-id_383965,20,273,273,92.673992674
k81_13,gb|AY376438|Strain|vector,gb_AY376438_Strain_vector_p4_(Delta30)_Description_Dengue_virus_vector_p4(Delta30)_complete_sequence__Country__ncbiId_AY376438_1_vipr-id_383712,20,273,273,92.673992674
k81_13,gb|CS402439|Strain|UNKNOWN-CS402439|Description|Sequence,gb_CS402439_Strain_UNKNOWN-CS402439_Description_Sequence_8_from_Patent_WO2006037038__Country__ncbiId_CS402439_1_vipr-id_725799,20,273,273,92.673992674
k81_13,gb|DM057452|Strain|UNKNOWN-DM057452|Description|DEFECTIVE,gb_DM057452_Strain_UNKNOWN-DM057452_Description_DEFECTIVE_SINDBIS_VIRAL_VECTORS__Country__ncbiId_DM057452_1_vipr-id_703844,20,273,273,92.673992674
k81_13,gb|AY656170|Strain|UNKNOWN-AY656170|Description|Dengue,gb_AY656170_Strain_UNKNOWN-AY656170_Description_Dengue_virus_type_3_vector_p3(delta30)_complete_sequence__Country__ncbiId_AY656170_1_vipr-id_391989,20,273,273,92.673992674
k81_13,gb|JA662462|Strain|UNKNOWN-JA662462|Description|Sequence,gb_JA662462_Strain_UNKNOWN-JA662462_Description_Sequence_17_from_Patent_EP2385119__Country__ncbiId_JA662462_1_vipr-id_559001,20,273,273,92.673992674
k81_13,gb|DI175568|Strain|UNKNOWN-DI175568|Description|KR,gb_DI175568_Strain_UNKNOWN-DI175568_Description_KR_1020100011053-A/17_Method_for_preparing_induced_pluripotent_stem_cells_using_herpes_simplex_amplicon_viruses_containing_reprogramming-inducing_genes__Country__ncbiId_DI175568_1_vipr-id_1081470,20,273,273,92.673992674
k81_13,gb|AY744148|Strain|Tonga/74|Description|Dengue,gb_AY744148_Strain_Tonga/74_Description_Dengue_virus_type_2_vector_p2_complete_sequence__Country_Tonga_ncbiId_AY744148_1_vipr-id_391990,20,273,273,92.673992674
k81_13,gb|HC725858|Strain|UNKNOWN-HC725858|Description|Sequence,gb_HC725858_Strain_UNKNOWN-HC725858_Description_Sequence_17_from_Patent_WO2010040756__Country__ncbiId_HC725858_1_vipr-id_347329,20,273,273,92.673992674
k81_13,gb|JB980448|Strain|UNKNOWN-JB980448|Description|Sequence,gb_JB980448_Strain_UNKNOWN-JB980448_Description_Sequence_26_from_Patent_WO2014005959__Country__ncbiId_JB980448_1_vipr-id_1108743,20,273,273,92.673992674
k81_13,gb|HC725868|Strain|UNKNOWN-HC725868|Description|Sequence,gb_HC725868_Strain_UNKNOWN-HC725868_Description_Sequence_27_from_Patent_WO2010040756__Country__ncbiId_HC725868_1_vipr-id_347477,20,273,273,92.673992674
k81_13,gb|FB361108|Strain|patent,gb_FB361108_Strain_patent_WO2006110762_27_Description_Sequence_27_from_Patent_WO2006110762__Country__ncbiId_FB361108_1_vipr-id_300208,20,273,273,92.673992674
k81_13,gb|HZ385864|Strain|UNKNOWN-HZ385864|Description|JP,gb_HZ385864_Strain_UNKNOWN-HZ385864_Description_JP_2015522581-A/4_COMPLEXES_OF_CYTOMEGALOVIRUS_PROTEINS__Country__ncbiId_HZ385864_1_vipr-id_1430752,20,273,273,92.673992674
k81_13,gb|DQ322638|Strain|UNKNOWN-DQ322638|Description|VEEV,gb_DQ322638_Strain_UNKNOWN-DQ322638_Description_VEEV_replicon_vector_YFV-C2_complete_sequence__Country__ncbiId_DQ322638_1_vipr-id_383736,20,273,273,92.673992674
k81_13,gb|HC725861|Strain|UNKNOWN-HC725861|Description|Sequence,gb_HC725861_Strain_UNKNOWN-HC725861_Description_Sequence_20_from_Patent_WO2010040756__Country__ncbiId_HC725861_1_vipr-id_347143,20,273,273,92.673992674
k81_13,gb|LG048542|Strain|UNKNOWN-LG048542|Description|KR,gb_LG048542_Strain_UNKNOWN-LG048542_Description_KR_1020150031322-A/25_COMPLEXES_OF_CYTOMEGALOVIRUS_PROTEINS__Country__ncbiId_LG048542_1_vipr-id_1436647,20,273,273,92.673992674
k81_13,gb|HW153887|Strain|UNKNOWN-HW153887|Description|JP,gb_HW153887_Strain_UNKNOWN-HW153887_Description_JP_2013507935-A/14_RECOMBINANT_MODIFIED_VACCINIA_ANKARA_(MVA)_VACCINIA_VIRUS_CONTAINING_RESTRUCTURED_INSERTION_SITES__Country__ncbiId_HW153887_1_vipr-id_1013136,20,273,273,92.673992674
k81_13,gb|DD082375|Strain|UNKNOWN-DD082375|Description|A,gb_DD082375_Strain_UNKNOWN-DD082375_Description_A_method_to_increase_ability_of_DNA_vaccines_to_induce_neutralizing_antibody_A_method_for_administration_of_vaccines__Country__ncbiId_DD082375_1_vipr-id_520791,20,273,273,92.673992674
k81_13,gb|AY744149|Strain|Tonga/74|Description|Dengue,gb_AY744149_Strain_Tonga/74_Description_Dengue_virus_type_2_vector_p2(delta30)_complete_sequence__Country_Tonga_ncbiId_AY744149_1_vipr-id_383747,20,273,273,92.673992674
k81_13,gb|HB462357|Strain|UNKNOWN-HB462357|Description|Sequence,gb_HB462357_Strain_UNKNOWN-HB462357_Description_Sequence_4_from_Patent_WO2009082664__Country__ncbiId_HB462357_1_vipr-id_865373,20,273,273,92.673992674
k81_13,gb|JA212591|Strain|UNKNOWN-JA212591|Description|Sequence,gb_JA212591_Strain_UNKNOWN-JA212591_Description_Sequence_79_from_Patent_WO2011039639__Country__ncbiId_JA212591_1_vipr-id_427589,20,273,273,92.673992674
k81_13,gb|DQ322640|Strain|UNKNOWN-DQ322640|Description|VEEV,gb_DQ322640_Strain_UNKNOWN-DQ322640_Description_VEEV_replicon_vector_YFV-C3opt-NS2mut_complete_sequence__Country__ncbiId_DQ322640_1_vipr-id_383674,20,273,273,92.673992674
k81_13,gb|LG048545|Strain|UNKNOWN-LG048545|Description|KR,gb_LG048545_Strain_UNKNOWN-LG048545_Description_KR_1020150031322-A/28_COMPLEXES_OF_CYTOMEGALOVIRUS_PROTEINS__Country__ncbiId_LG048545_1_vipr-id_1432990,20,273,273,92.673992674
k81_13,gb|HZ385863|Strain|UNKNOWN-HZ385863|Description|JP,gb_HZ385863_Strain_UNKNOWN-HZ385863_Description_JP_2015522581-A/3_COMPLEXES_OF_CYTOMEGALOVIRUS_PROTEINS__Country__ncbiId_HZ385863_1_vipr-id_1435272,20,273,273,92.673992674
k81_13,gb|HC725867|Strain|UNKNOWN-HC725867|Description|Sequence,gb_HC725867_Strain_UNKNOWN-HC725867_Description_Sequence_26_from_Patent_WO2010040756__Country__ncbiId_HC725867_1_vipr-id_347242,20,273,273,92.673992674
k81_13,gb|JB980449|Strain|UNKNOWN-JB980449|Description|Sequence,gb_JB980449_Strain_UNKNOWN-JB980449_Description_Sequence_27_from_Patent_WO2014005959__Country__ncbiId_JB980449_1_vipr-id_1108774,20,273,273,92.673992674
k81_13,gb|JA662468|Strain|UNKNOWN-JA662468|Description|Sequence,gb_JA662468_Strain_UNKNOWN-JA662468_Description_Sequence_23_from_Patent_EP2385119__Country__ncbiId_JA662468_1_vipr-id_539109,20,273,273,92.673992674
k81_13,gb|DM057454|Strain|UNKNOWN-DM057454|Description|DEFECTIVE,gb_DM057454_Strain_UNKNOWN-DM057454_Description_DEFECTIVE_SINDBIS_VIRAL_VECTORS__Country__ncbiId_DM057454_1_vipr-id_698117,20,273,273,92.673992674
k81_13,gb|DL231478|Strain|UNKNOWN-DL231478|Description|Recombinant,gb_DL231478_Strain_UNKNOWN-DL231478_Description_Recombinant_raccoon_pox_viruses_and_their_use_as_an_effective_vaccine_against_feline_infectious_peritonitis_virus_disease__Country__ncbiId_DL231478_1_vipr-id_313475,20,273,273,92.673992674
k81_13,gb|JA212593|Strain|UNKNOWN-JA212593|Description|Sequence,gb_JA212593_Strain_UNKNOWN-JA212593_Description_Sequence_81_from_Patent_WO2011039639__Country__ncbiId_JA212593_1_vipr-id_427562,20,273,273,92.673992674
k81_13,gb|FB361098|Strain|patent,gb_FB361098_Strain_patent_WO2006110762_17_Description_Sequence_17_from_Patent_WO2006110762__Country__ncbiId_FB361098_1_vipr-id_300226,20,273,273,92.673992674
k81_13,gb|HV325666|Strain|UNKNOWN-HV325666|Description|JP,gb_HV325666_Strain_UNKNOWN-HV325666_Description_JP_2011507523-A/2_Genetically_Modified_Attenuated_Vesicular_Stomatitis_Virus_Compositions_and_Methods_of_Use_Thereof__Country__ncbiId_HV325666_1_vipr-id_882860,20,273,273,92.673992674
k81_13,gb|GM839826|Strain|UNKNOWN-GM839826|Description|Sequence,gb_GM839826_Strain_UNKNOWN-GM839826_Description_Sequence_18_from_Patent_WO2008122598__Country__ncbiId_GM839826_1_vipr-id_745354,20,273,273,92.673992674
k81_13,gb|DI052120|Strain|UNKNOWN-DI052120|Description|Rescue,gb_DI052120_Strain_UNKNOWN-DI052120_Description_Rescue_of_Canine_Distemper_Virus_from_cDNA__Country__ncbiId_DI052120_1_vipr-id_317929,20,273,273,92.673992674
k81_13,gb|DM057451|Strain|UNKNOWN-DM057451|Description|DEFECTIVE,gb_DM057451_Strain_UNKNOWN-DM057451_Description_DEFECTIVE_SINDBIS_VIRAL_VECTORS__Country__ncbiId_DM057451_1_vipr-id_737844,20,273,273,92.673992674
k81_13,gb|FB361106|Strain|patent,gb_FB361106_Strain_patent_WO2006110762_25_Description_Sequence_25_from_Patent_WO2006110762__Country__ncbiId_FB361106_1_vipr-id_300271,20,273,273,92.673992674
k81_13,gb|GM009330|Strain|UNKNOWN-GM009330|Description|Sequence,gb_GM009330_Strain_UNKNOWN-GM009330_Description_Sequence_2_from_Patent_WO2008011609__Country__ncbiId_GM009330_1_vipr-id_678983,20,273,273,92.673992674
k81_13,gb|GM839832|Strain|UNKNOWN-GM839832|Description|Sequence,gb_GM839832_Strain_UNKNOWN-GM839832_Description_Sequence_24_from_Patent_WO2008122598__Country__ncbiId_GM839832_1_vipr-id_549093,20,273,273,92.673992674
k81_13,gb|AY243467|Strain|UNKNOWN-AY243467|Description|Chimeric,gb_AY243467_Strain_UNKNOWN-AY243467_Description_Chimeric_Dengue_virus_vector_p4(Delta30)-D2-ME_complete_sequence__Country__ncbiId_AY243467_1_vipr-id_383752,20,273,273,92.673992674
k81_13,gb|FB361103|Strain|patent,gb_FB361103_Strain_patent_WO2006110762_22_Description_Sequence_22_from_Patent_WO2006110762__Country__ncbiId_FB361103_1_vipr-id_300234,20,273,273,92.673992674
k81_13,gb|AY648301|Strain|vector,gb_AY648301_Strain_vector_p4_Description_Dengue_virus_type_4_vector_p4_complete_sequence__Country__ncbiId_AY648301_1_vipr-id_383792,20,273,273,92.673992674
k81_13,gb|DL475801|Strain|UNKNOWN-DL475801|Description|OPTIMIZED,gb_DL475801_Strain_UNKNOWN-DL475801_Description_OPTIMIZED_VACCINES_TO_PROVIDE_PROTECTION_AGAINST_EBOLA_AND_OTHER_VIRUSES__Country__ncbiId_DL475801_1_vipr-id_1431896,20,273,273,92.673992674
k81_13,gb|JC486640|Strain|UNKNOWN-JC486640|Description|Sequence,gb_JC486640_Strain_UNKNOWN-JC486640_Description_Sequence_3_from_Patent_EP2702159__Country__ncbiId_JC486640_1_vipr-id_1233807,20,273,273,92.673992674
k81_13,gb|DD082374|Strain|UNKNOWN-DD082374|Description|A,gb_DD082374_Strain_UNKNOWN-DD082374_Description_A_method_to_increase_ability_of_DNA_vaccines_to_induce_neutralizing_antibody_A_method_for_administration_of_vaccines__Country__ncbiId_DD082374_1_vipr-id_472034,20,273,273,92.673992674
k81_13,gb|JC998729|Strain|UNKNOWN-JC998729|Description|Sequence,gb_JC998729_Strain_UNKNOWN-JC998729_Description_Sequence_775_from_Patent_EP2788490__Country__ncbiId_JC998729_1_vipr-id_1257907,20,273,273,92.673992674
k81_13,gb|JA662463|Strain|UNKNOWN-JA662463|Description|Sequence,gb_JA662463_Strain_UNKNOWN-JA662463_Description_Sequence_18_from_Patent_EP2385119__Country__ncbiId_JA662463_1_vipr-id_557518,20,273,273,92.673992674
k81_13,gb|FB361101|Strain|patent,gb_FB361101_Strain_patent_WO2006110762_20_Description_Sequence_20_from_Patent_WO2006110762__Country__ncbiId_FB361101_1_vipr-id_300210,20,273,273,92.673992674
k81_13,gb|JA363376|Strain|UNKNOWN-JA363376|Description|Sequence,gb_JA363376_Strain_UNKNOWN-JA363376_Description_Sequence_21_from_Patent_WO2011047324__Country__ncbiId_JA363376_1_vipr-id_739315,20,273,273,92.673992674
k81_13,gb|DQ322642|Strain|UNKNOWN-DQ322642|Description|VEEV,gb_DQ322642_Strain_UNKNOWN-DQ322642_Description_VEEV_replicon_vector_YFV-C3opt_complete_sequence__Country__ncbiId_DQ322642_1_vipr-id_383707,20,273,273,92.673992674
k81_13,gb|HZ385862|Strain|UNKNOWN-HZ385862|Description|JP,gb_HZ385862_Strain_UNKNOWN-HZ385862_Description_JP_2015522581-A/2_COMPLEXES_OF_CYTOMEGALOVIRUS_PROTEINS__Country__ncbiId_HZ385862_1_vipr-id_1433962,20,273,273,92.673992674
k81_13,gb|DI175548|Strain|UNKNOWN-DI175548|Description|KR,gb_DI175548_Strain_UNKNOWN-DI175548_Description_KR_1020100011051-A/17_Gene_constructs_comprising_two_or_more_reprogramming-inducing_genes_and_method_for_preparing_induced_pluripotent_stem_cells_using_the_same__Country__ncbiId_DI175548_1_vipr-id_1083408,20,273,273,92.673992674
k81_13,gb|JB980450|Strain|UNKNOWN-JB980450|Description|Sequence,gb_JB980450_Strain_UNKNOWN-JB980450_Description_Sequence_28_from_Patent_WO2014005959__Country__ncbiId_JB980450_1_vipr-id_1108715,20,273,273,92.673992674
k81_13,gb|JA212592|Strain|UNKNOWN-JA212592|Description|Sequence,gb_JA212592_Strain_UNKNOWN-JA212592_Description_Sequence_80_from_Patent_WO2011039639__Country__ncbiId_JA212592_1_vipr-id_427739,20,273,273,92.673992674
k81_13,gb|AY656168|Strain|UNKNOWN-AY656168|Description|Chimeric,gb_AY656168_Strain_UNKNOWN-AY656168_Description_Chimeric_dengue_virus_vector_p4(delta30)-D3L-ME_complete_sequence__Country__ncbiId_AY656168_1_vipr-id_391983,20,273,273,92.673992674
k81_13,gb|FB361099|Strain|patent,gb_FB361099_Strain_patent_WO2006110762_18_Description_Sequence_18_from_Patent_WO2006110762__Country__ncbiId_FB361099_1_vipr-id_293179,20,273,273,92.673992674
k81_13,gb|AY243466|Strain|UNKNOWN-AY243466|Description|Chimeric,gb_AY243466_Strain_UNKNOWN-AY243466_Description_Chimeric_Dengue_virus_vector_p4-D2-ME_complete_sequence__Country__ncbiId_AY243466_1_vipr-id_383764,20,273,273,92.673992674
k81_13,gb|AX453977|Strain|WO0200883,gb_AX453977_Strain_WO0200883_Seq3_Description_Sequence_3_from_Patent_WO0200883__Country__ncbiId_AX453977_1_vipr-id_284683,20,273,273,92.673992674
k81_13,gb|HV202174|Strain|UNKNOWN-HV202174|Description|JP,gb_HV202174_Strain_UNKNOWN-HV202174_Description_JP_2000139482-A/1_Attenuated_bovine_viral_diarrhea_virus__Country__ncbiId_HV202174_1_vipr-id_446189,20,273,273,92.673992674
k81_13,gb|FB361102|Strain|patent,gb_FB361102_Strain_patent_WO2006110762_21_Description_Sequence_21_from_Patent_WO2006110762__Country__ncbiId_FB361102_1_vipr-id_292820,20,273,273,92.673992674
k81_13,gb|FB361105|Strain|patent,gb_FB361105_Strain_patent_WO2006110762_24_Description_Sequence_24_from_Patent_WO2006110762__Country__ncbiId_FB361105_1_vipr-id_300244,20,273,273,92.673992674
k81_13,gb|JA763956|Strain|UNKNOWN-JA763956|Description|Sequence,gb_JA763956_Strain_UNKNOWN-JA763956_Description_Sequence_1_from_Patent_EP2413963__Country__ncbiId_JA763956_1_vipr-id_785717,20,273,273,92.673992674
k81_13,gb|GM839831|Strain|UNKNOWN-GM839831|Description|Sequence,gb_GM839831_Strain_UNKNOWN-GM839831_Description_Sequence_23_from_Patent_WO2008122598__Country__ncbiId_GM839831_1_vipr-id_691312,20,273,273,92.673992674
k81_13,gb|DL475798|Strain|UNKNOWN-DL475798|Description|OPTIMIZED,gb_DL475798_Strain_UNKNOWN-DL475798_Description_OPTIMIZED_VACCINES_TO_PROVIDE_PROTECTION_AGAINST_EBOLA_AND_OTHER_VIRUSES__Country__ncbiId_DL475798_1_vipr-id_1435615,21,273,273,92.3076923077
k81_13,gb|CS402435|Strain|UNKNOWN-CS402435|Description|Sequence,gb_CS402435_Strain_UNKNOWN-CS402435_Description_Sequence_4_from_Patent_WO2006037038__Country__ncbiId_CS402435_1_vipr-id_735336,21,273,273,92.3076923077
k81_13,gb|CS402437|Strain|UNKNOWN-CS402437|Description|Sequence,gb_CS402437_Strain_UNKNOWN-CS402437_Description_Sequence_6_from_Patent_WO2006037038__Country__ncbiId_CS402437_1_vipr-id_719993,21,273,273,92.3076923077
k81_13,gb|Z48163|Strain|A7|Description|Semliki,gb_Z48163_Strain_A7_Description_Semliki_forest_virus_genomic_RNA_for_non-structural_polyprotein_and_structural_polyprotein_strain_A7__Country__ncbiId_Z48163_2_vipr-id_293439,21,273,273,92.3076923077
k81_13,gb|HZ784936|Strain|UNKNOWN-HZ784936|Description|WO,gb_HZ784936_Strain_UNKNOWN-HZ784936_Description_WO_2016038895-A/5_FLAVIVIRUS_VIRUS_LIKE_PARTICLE__Country__ncbiId_HZ784936_1_vipr-id_1699226,21,273,273,92.3076923077
k81_13,gb|HZ784939|Strain|UNKNOWN-HZ784939|Description|WO,gb_HZ784939_Strain_UNKNOWN-HZ784939_Description_WO_2016038895-A/8_FLAVIVIRUS_VIRUS_LIKE_PARTICLE__Country__ncbiId_HZ784939_1_vipr-id_1699223,21,273,273,92.3076923077
k81_13,gb|HZ784934|Strain|UNKNOWN-HZ784934|Description|WO,gb_HZ784934_Strain_UNKNOWN-HZ784934_Description_WO_2016038895-A/3_FLAVIVIRUS_VIRUS_LIKE_PARTICLE__Country__ncbiId_HZ784934_1_vipr-id_1699228,21,273,273,92.3076923077
k81_13,gb|CS402433|Strain|UNKNOWN-CS402433|Description|Sequence,gb_CS402433_Strain_UNKNOWN-CS402433_Description_Sequence_2_from_Patent_WO2006037038__Country__ncbiId_CS402433_1_vipr-id_746477,21,273,273,92.3076923077
k81_13,gb|JA901818|Strain|UNKNOWN-JA901818|Description|Sequence,gb_JA901818_Strain_UNKNOWN-JA901818_Description_Sequence_3_from_Patent_WO2013006837__Country__ncbiId_JA901818_1_vipr-id_965266,21,273,273,92.3076923077
k81_13,gb|HZ784938|Strain|UNKNOWN-HZ784938|Description|WO,gb_HZ784938_Strain_UNKNOWN-HZ784938_Description_WO_2016038895-A/7_FLAVIVIRUS_VIRUS_LIKE_PARTICLE__Country__ncbiId_HZ784938_1_vipr-id_1699224,21,273,273,92.3076923077
k81_13,gb|HZ784932|Strain|UNKNOWN-HZ784932|Description|WO,gb_HZ784932_Strain_UNKNOWN-HZ784932_Description_WO_2016038895-A/1_FLAVIVIRUS_VIRUS_LIKE_PARTICLE__Country__ncbiId_HZ784932_1_vipr-id_1699230,21,273,273,92.3076923077
