contig,id,name,number_mismatches,alignment_length,contig_length,adjusted_identity
k91_13,DL475798,OPTIMIZED_VACCINES_TO_PROVIDE_PROTECTION_AGAINST_EBOLA_AND_OTHER_VIRUSES_,0,374,374,100.0
k91_20,DL475801,OPTIMIZED_VACCINES_TO_PROVIDE_PROTECTION_AGAINST_EBOLA_AND_OTHER_VIRUSES_,231,363,592,36.3636363636
k91_19,DL475801,OPTIMIZED_VACCINES_TO_PROVIDE_PROTECTION_AGAINST_EBOLA_AND_OTHER_VIRUSES_,9,497,504,98.1891348089
k91_14,DL475801,OPTIMIZED_VACCINES_TO_PROVIDE_PROTECTION_AGAINST_EBOLA_AND_OTHER_VIRUSES_,3,382,382,99.2146596859
k91_20,CS402436,Sequence_5_from_Patent_WO2006037038_,107,487,592,78.0287474333
k91_13,CS402436,Sequence_5_from_Patent_WO2006037038_,0,374,374,100.0
k91_20,CS402437,Sequence_6_from_Patent_WO2006037038_,107,487,592,78.0287474333
k91_13,CS402437,Sequence_6_from_Patent_WO2006037038_,0,374,374,100.0
k91_14,AY376438,Dengue_virus_vector_p4(Delta30)_complete_sequence_,3,382,382,99.2146596859
k91_9,AY376438,Dengue_virus_vector_p4(Delta30)_complete_sequence_,69,244,313,71.7213114754
k91_20,AY376438,Dengue_virus_vector_p4(Delta30)_complete_sequence_,107,487,592,78.0287474333
k91_19,AY376438,Dengue_virus_vector_p4(Delta30)_complete_sequence_,173,332,504,47.8915662651
k91_14,AY744149,Dengue_virus_type_2_vector_p2(delta30)_complete_sequence_,3,382,382,99.2146596859
k91_9,AY744149,Dengue_virus_type_2_vector_p2(delta30)_complete_sequence_,69,244,313,71.7213114754
k91_20,AY744149,Dengue_virus_type_2_vector_p2(delta30)_complete_sequence_,107,487,592,78.0287474333
k91_19,AY744149,Dengue_virus_type_2_vector_p2(delta30)_complete_sequence_,173,332,504,47.8915662651
k91_14,AY744150,Dengue_virus_type_2_vector_p4(delta30)-4995_complete_sequence_,3,382,382,99.2146596859
k91_9,AY744150,Dengue_virus_type_2_vector_p4(delta30)-4995_complete_sequence_,69,244,313,71.7213114754
k91_20,AY744150,Dengue_virus_type_2_vector_p4(delta30)-4995_complete_sequence_,107,487,592,78.0287474333
k91_19,AY744150,Dengue_virus_type_2_vector_p4(delta30)-4995_complete_sequence_,173,332,504,47.8915662651
k91_19,DD082374,A_method_to_increase_ability_of_DNA_vaccines_to_induce_neutralizing_antibody_A_method_for_administration_of_vaccines_,8,497,504,98.3903420523
k91_14,DD082374,A_method_to_increase_ability_of_DNA_vaccines_to_induce_neutralizing_antibody_A_method_for_administration_of_vaccines_,2,382,382,99.4764397906
k91_19,DD082375,A_method_to_increase_ability_of_DNA_vaccines_to_induce_neutralizing_antibody_A_method_for_administration_of_vaccines_,8,497,504,98.3903420523
k91_14,DD082375,A_method_to_increase_ability_of_DNA_vaccines_to_induce_neutralizing_antibody_A_method_for_administration_of_vaccines_,2,382,382,99.4764397906
k91_19,DD098716,A_method_to_increase_antigens_produced_from_DNA_vaccines_a_method_for_administration_of_DNA_vaccines_and_a_method_for_detection_of_antigens_produced_from_DNA_vaccines_,8,497,504,98.3903420523
k91_14,DD098716,A_method_to_increase_antigens_produced_from_DNA_vaccines_a_method_for_administration_of_DNA_vaccines_and_a_method_for_detection_of_antigens_produced_from_DNA_vaccines_,2,382,382,99.4764397906
k91_14,HI137419,Sequence_22_from_Patent_EP1989316_,121,263,382,53.9923954373
k91_19,HI137419,Sequence_22_from_Patent_EP1989316_,9,497,504,98.1891348089
k91_20,HZ784932,WO_2016038895-A/1_FLAVIVIRUS_VIRUS_LIKE_PARTICLE_,553,39,592,-1317.94871795
k91_20,HZ784932,WO_2016038895-A/1_FLAVIVIRUS_VIRUS_LIKE_PARTICLE_,107,487,592,78.0287474333
k91_13,HZ784932,WO_2016038895-A/1_FLAVIVIRUS_VIRUS_LIKE_PARTICLE_,0,374,374,100.0
k91_20,HZ784933,WO_2016038895-A/2_FLAVIVIRUS_VIRUS_LIKE_PARTICLE_,553,39,592,-1317.94871795
k91_20,HZ784933,WO_2016038895-A/2_FLAVIVIRUS_VIRUS_LIKE_PARTICLE_,107,487,592,78.0287474333
k91_13,HZ784933,WO_2016038895-A/2_FLAVIVIRUS_VIRUS_LIKE_PARTICLE_,0,374,374,100.0
k91_20,HZ784934,WO_2016038895-A/3_FLAVIVIRUS_VIRUS_LIKE_PARTICLE_,553,39,592,-1317.94871795
k91_20,HZ784934,WO_2016038895-A/3_FLAVIVIRUS_VIRUS_LIKE_PARTICLE_,107,487,592,78.0287474333
k91_13,HZ784934,WO_2016038895-A/3_FLAVIVIRUS_VIRUS_LIKE_PARTICLE_,0,374,374,100.0
k91_20,HZ784935,WO_2016038895-A/4_FLAVIVIRUS_VIRUS_LIKE_PARTICLE_,553,39,592,-1317.94871795
k91_20,HZ784935,WO_2016038895-A/4_FLAVIVIRUS_VIRUS_LIKE_PARTICLE_,107,487,592,78.0287474333
k91_13,HZ784935,WO_2016038895-A/4_FLAVIVIRUS_VIRUS_LIKE_PARTICLE_,0,374,374,100.0
k91_14,HZ784935,WO_2016038895-A/4_FLAVIVIRUS_VIRUS_LIKE_PARTICLE_,2,382,382,99.4764397906
k91_20,HZ784936,WO_2016038895-A/5_FLAVIVIRUS_VIRUS_LIKE_PARTICLE_,553,39,592,-1317.94871795
k91_20,HZ784936,WO_2016038895-A/5_FLAVIVIRUS_VIRUS_LIKE_PARTICLE_,107,487,592,78.0287474333
k91_13,HZ784936,WO_2016038895-A/5_FLAVIVIRUS_VIRUS_LIKE_PARTICLE_,0,374,374,100.0
k91_14,HZ784936,WO_2016038895-A/5_FLAVIVIRUS_VIRUS_LIKE_PARTICLE_,2,382,382,99.4764397906
k91_20,HZ784937,WO_2016038895-A/6_FLAVIVIRUS_VIRUS_LIKE_PARTICLE_,553,39,592,-1317.94871795
k91_20,HZ784937,WO_2016038895-A/6_FLAVIVIRUS_VIRUS_LIKE_PARTICLE_,107,487,592,78.0287474333
k91_13,HZ784937,WO_2016038895-A/6_FLAVIVIRUS_VIRUS_LIKE_PARTICLE_,0,374,374,100.0
k91_20,HZ784938,WO_2016038895-A/7_FLAVIVIRUS_VIRUS_LIKE_PARTICLE_,553,39,592,-1317.94871795
k91_20,HZ784938,WO_2016038895-A/7_FLAVIVIRUS_VIRUS_LIKE_PARTICLE_,107,487,592,78.0287474333
k91_13,HZ784938,WO_2016038895-A/7_FLAVIVIRUS_VIRUS_LIKE_PARTICLE_,0,374,374,100.0
k91_14,HZ784938,WO_2016038895-A/7_FLAVIVIRUS_VIRUS_LIKE_PARTICLE_,2,382,382,99.4764397906
k91_20,HZ784939,WO_2016038895-A/8_FLAVIVIRUS_VIRUS_LIKE_PARTICLE_,553,39,592,-1317.94871795
k91_20,HZ784939,WO_2016038895-A/8_FLAVIVIRUS_VIRUS_LIKE_PARTICLE_,107,487,592,78.0287474333
k91_13,HZ784939,WO_2016038895-A/8_FLAVIVIRUS_VIRUS_LIKE_PARTICLE_,0,374,374,100.0
k91_14,HZ784939,WO_2016038895-A/8_FLAVIVIRUS_VIRUS_LIKE_PARTICLE_,2,382,382,99.4764397906
k91_20,AX008265,Sequence_28_from_Patent_WO9967285_,121,473,592,74.4186046512
k91_13,AX008265,Sequence_28_from_Patent_WO9967285_,0,374,374,100.0
k91_19,AX008265,Sequence_28_from_Patent_WO9967285_,8,497,504,98.3903420523
k91_14,AX008265,Sequence_28_from_Patent_WO9967285_,3,382,382,99.2146596859
k91_20,CS131702,Sequence_28_from_Patent_EP1555270_,121,473,592,74.4186046512
k91_13,CS131702,Sequence_28_from_Patent_EP1555270_,0,374,374,100.0
k91_19,CS131702,Sequence_28_from_Patent_EP1555270_,8,497,504,98.3903420523
k91_14,CS131702,Sequence_28_from_Patent_EP1555270_,3,382,382,99.2146596859
k91_14,FB361097,Sequence_16_from_Patent_WO2006110762_,3,382,382,99.2146596859
k91_19,FB361097,Sequence_16_from_Patent_WO2006110762_,9,497,504,98.1891348089
k91_20,FB361097,Sequence_16_from_Patent_WO2006110762_,107,487,592,78.0287474333
k91_14,FB361098,Sequence_17_from_Patent_WO2006110762_,3,382,382,99.2146596859
k91_19,FB361098,Sequence_17_from_Patent_WO2006110762_,9,497,504,98.1891348089
k91_20,FB361098,Sequence_17_from_Patent_WO2006110762_,107,487,592,78.0287474333
k91_14,FB361099,Sequence_18_from_Patent_WO2006110762_,3,382,382,99.2146596859
k91_19,FB361099,Sequence_18_from_Patent_WO2006110762_,9,497,504,98.1891348089
k91_20,FB361099,Sequence_18_from_Patent_WO2006110762_,107,487,592,78.0287474333
k91_14,FB361100,Sequence_19_from_Patent_WO2006110762_,3,382,382,99.2146596859
k91_19,FB361100,Sequence_19_from_Patent_WO2006110762_,9,497,504,98.1891348089
k91_20,FB361100,Sequence_19_from_Patent_WO2006110762_,107,487,592,78.0287474333
k91_14,FB361101,Sequence_20_from_Patent_WO2006110762_,3,382,382,99.2146596859
k91_19,FB361101,Sequence_20_from_Patent_WO2006110762_,9,497,504,98.1891348089
k91_20,FB361101,Sequence_20_from_Patent_WO2006110762_,107,487,592,78.0287474333
k91_14,FB361102,Sequence_21_from_Patent_WO2006110762_,3,382,382,99.2146596859
k91_19,FB361102,Sequence_21_from_Patent_WO2006110762_,9,497,504,98.1891348089
k91_20,FB361102,Sequence_21_from_Patent_WO2006110762_,107,487,592,78.0287474333
k91_14,FB361103,Sequence_22_from_Patent_WO2006110762_,3,382,382,99.2146596859
k91_19,FB361103,Sequence_22_from_Patent_WO2006110762_,9,497,504,98.1891348089
k91_20,FB361103,Sequence_22_from_Patent_WO2006110762_,107,487,592,78.0287474333
k91_14,FB361104,Sequence_23_from_Patent_WO2006110762_,3,382,382,99.2146596859
k91_19,FB361104,Sequence_23_from_Patent_WO2006110762_,9,497,504,98.1891348089
k91_20,FB361104,Sequence_23_from_Patent_WO2006110762_,107,487,592,78.0287474333
k91_14,FB361105,Sequence_24_from_Patent_WO2006110762_,3,382,382,99.2146596859
k91_19,FB361105,Sequence_24_from_Patent_WO2006110762_,9,497,504,98.1891348089
k91_20,FB361105,Sequence_24_from_Patent_WO2006110762_,107,487,592,78.0287474333
k91_14,FB361106,Sequence_25_from_Patent_WO2006110762_,3,382,382,99.2146596859
k91_19,FB361106,Sequence_25_from_Patent_WO2006110762_,9,497,504,98.1891348089
k91_20,FB361106,Sequence_25_from_Patent_WO2006110762_,107,487,592,78.0287474333
k91_14,FB361107,Sequence_26_from_Patent_WO2006110762_,3,382,382,99.2146596859
k91_19,FB361107,Sequence_26_from_Patent_WO2006110762_,9,497,504,98.1891348089
k91_20,FB361107,Sequence_26_from_Patent_WO2006110762_,107,487,592,78.0287474333
k91_14,FB361108,Sequence_27_from_Patent_WO2006110762_,3,382,382,99.2146596859
k91_19,FB361108,Sequence_27_from_Patent_WO2006110762_,9,497,504,98.1891348089
k91_20,FB361108,Sequence_27_from_Patent_WO2006110762_,107,487,592,78.0287474333
k91_14,HC725851,Sequence_10_from_Patent_WO2010040756_,3,382,382,99.2146596859
k91_19,HC725851,Sequence_10_from_Patent_WO2010040756_,9,497,504,98.1891348089
k91_14,HC725858,Sequence_17_from_Patent_WO2010040756_,3,382,382,99.2146596859
k91_19,HC725858,Sequence_17_from_Patent_WO2010040756_,9,497,504,98.1891348089
k91_20,HC725858,Sequence_17_from_Patent_WO2010040756_,107,487,592,78.0287474333
k91_14,HC725861,Sequence_20_from_Patent_WO2010040756_,3,382,382,99.2146596859
k91_19,HC725861,Sequence_20_from_Patent_WO2010040756_,9,497,504,98.1891348089
k91_20,HC725861,Sequence_20_from_Patent_WO2010040756_,107,487,592,78.0287474333
k91_14,HC725862,Sequence_21_from_Patent_WO2010040756_,3,382,382,99.2146596859
k91_19,HC725862,Sequence_21_from_Patent_WO2010040756_,9,497,504,98.1891348089
k91_20,HC725862,Sequence_21_from_Patent_WO2010040756_,107,487,592,78.0287474333
k91_14,HC725867,Sequence_26_from_Patent_WO2010040756_,3,382,382,99.2146596859
k91_19,HC725867,Sequence_26_from_Patent_WO2010040756_,9,497,504,98.1891348089
k91_20,HC725867,Sequence_26_from_Patent_WO2010040756_,107,487,592,78.0287474333
k91_14,HC725868,Sequence_27_from_Patent_WO2010040756_,3,382,382,99.2146596859
k91_19,HC725868,Sequence_27_from_Patent_WO2010040756_,9,497,504,98.1891348089
k91_20,HC725868,Sequence_27_from_Patent_WO2010040756_,107,487,592,78.0287474333
k91_19,JA212591,Sequence_79_from_Patent_WO2011039639_,8,497,504,98.3903420523
k91_14,JA212591,Sequence_79_from_Patent_WO2011039639_,2,382,382,99.4764397906
k91_19,JA212592,Sequence_80_from_Patent_WO2011039639_,8,497,504,98.3903420523
k91_14,JA212592,Sequence_80_from_Patent_WO2011039639_,2,382,382,99.4764397906
k91_19,JA212593,Sequence_81_from_Patent_WO2011039639_,8,497,504,98.3903420523
k91_14,JA212593,Sequence_81_from_Patent_WO2011039639_,2,382,382,99.4764397906
k91_20,JC998729,Sequence_775_from_Patent_EP2788490_,553,39,592,-1317.94871795
k91_20,JC998729,Sequence_775_from_Patent_EP2788490_,107,487,592,78.0287474333
k91_19,JC998729,Sequence_775_from_Patent_EP2788490_,8,497,504,98.3903420523
k91_14,JC998729,Sequence_775_from_Patent_EP2788490_,2,382,382,99.4764397906
k91_14,BD366421,ATTENUATED_FORMS_OF_BOVINE_VIRAL_DIARRHEA_VIRUS_,2,382,382,99.4764397906
k91_19,BD366421,ATTENUATED_FORMS_OF_BOVINE_VIRAL_DIARRHEA_VIRUS_,8,497,504,98.3903420523
k91_20,BD366421,ATTENUATED_FORMS_OF_BOVINE_VIRAL_DIARRHEA_VIRUS_,107,487,592,78.0287474333
k91_14,HV202174,JP_2000139482-A/1_Attenuated_bovine_viral_diarrhea_virus_,2,382,382,99.4764397906
k91_19,HV202174,JP_2000139482-A/1_Attenuated_bovine_viral_diarrhea_virus_,8,497,504,98.3903420523
k91_20,HV202174,JP_2000139482-A/1_Attenuated_bovine_viral_diarrhea_virus_,107,487,592,78.0287474333
k91_14,AY243466,Chimeric_Dengue_virus_vector_p4-D2-ME_complete_sequence_,3,382,382,99.2146596859
k91_9,AY243466,Chimeric_Dengue_virus_vector_p4-D2-ME_complete_sequence_,69,244,313,71.7213114754
k91_20,AY243466,Chimeric_Dengue_virus_vector_p4-D2-ME_complete_sequence_,107,487,592,78.0287474333
k91_19,AY243466,Chimeric_Dengue_virus_vector_p4-D2-ME_complete_sequence_,173,332,504,47.8915662651
k91_14,AY243467,Chimeric_Dengue_virus_vector_p4(Delta30)-D2-ME_complete_sequence_,3,382,382,99.2146596859
k91_9,AY243467,Chimeric_Dengue_virus_vector_p4(Delta30)-D2-ME_complete_sequence_,69,244,313,71.7213114754
k91_20,AY243467,Chimeric_Dengue_virus_vector_p4(Delta30)-D2-ME_complete_sequence_,107,487,592,78.0287474333
k91_19,AY243467,Chimeric_Dengue_virus_vector_p4(Delta30)-D2-ME_complete_sequence_,173,332,504,47.8915662651
k91_14,AY243468,Chimeric_Dengue_virus_vector_p4-D2-CME_complete_sequence_,3,382,382,99.2146596859
k91_9,AY243468,Chimeric_Dengue_virus_vector_p4-D2-CME_complete_sequence_,69,244,313,71.7213114754
k91_20,AY243468,Chimeric_Dengue_virus_vector_p4-D2-CME_complete_sequence_,107,487,592,78.0287474333
k91_19,AY243468,Chimeric_Dengue_virus_vector_p4-D2-CME_complete_sequence_,173,332,504,47.8915662651
k91_14,AY243469,Chimeric_Dengue_virus_vector_p4(Delta30)-D2-CME_complete_sequence_,3,382,382,99.2146596859
k91_9,AY243469,Chimeric_Dengue_virus_vector_p4(Delta30)-D2-CME_complete_sequence_,69,244,313,71.7213114754
k91_20,AY243469,Chimeric_Dengue_virus_vector_p4(Delta30)-D2-CME_complete_sequence_,107,487,592,78.0287474333
k91_19,AY243469,Chimeric_Dengue_virus_vector_p4(Delta30)-D2-CME_complete_sequence_,173,332,504,47.8915662651
k91_14,AY648301,Dengue_virus_type_4_vector_p4_complete_sequence_,3,382,382,99.2146596859
k91_9,AY648301,Dengue_virus_type_4_vector_p4_complete_sequence_,69,244,313,71.7213114754
k91_20,AY648301,Dengue_virus_type_4_vector_p4_complete_sequence_,107,487,592,78.0287474333
k91_19,AY648301,Dengue_virus_type_4_vector_p4_complete_sequence_,173,332,504,47.8915662651
k91_14,AY656167,Chimeric_dengue_virus_vector_p4-D3L-ME_complete_sequence_,3,382,382,99.2146596859
k91_9,AY656167,Chimeric_dengue_virus_vector_p4-D3L-ME_complete_sequence_,69,244,313,71.7213114754
k91_20,AY656167,Chimeric_dengue_virus_vector_p4-D3L-ME_complete_sequence_,107,487,592,78.0287474333
k91_19,AY656167,Chimeric_dengue_virus_vector_p4-D3L-ME_complete_sequence_,173,332,504,47.8915662651
k91_14,AY656168,Chimeric_dengue_virus_vector_p4(delta30)-D3L-ME_complete_sequence_,3,382,382,99.2146596859
k91_9,AY656168,Chimeric_dengue_virus_vector_p4(delta30)-D3L-ME_complete_sequence_,69,244,313,71.7213114754
k91_20,AY656168,Chimeric_dengue_virus_vector_p4(delta30)-D3L-ME_complete_sequence_,107,487,592,78.0287474333
k91_19,AY656168,Chimeric_dengue_virus_vector_p4(delta30)-D3L-ME_complete_sequence_,173,332,504,47.8915662651
k91_14,AY656169,Dengue_virus_type_3_vector_p3_complete_sequence_,3,382,382,99.2146596859
k91_9,AY656169,Dengue_virus_type_3_vector_p3_complete_sequence_,69,244,313,71.7213114754
k91_20,AY656169,Dengue_virus_type_3_vector_p3_complete_sequence_,107,487,592,78.0287474333
k91_19,AY656169,Dengue_virus_type_3_vector_p3_complete_sequence_,173,332,504,47.8915662651
k91_14,AY656170,Dengue_virus_type_3_vector_p3(delta30)_complete_sequence_,3,382,382,99.2146596859
k91_9,AY656170,Dengue_virus_type_3_vector_p3(delta30)_complete_sequence_,69,244,313,71.7213114754
k91_20,AY656170,Dengue_virus_type_3_vector_p3(delta30)_complete_sequence_,107,487,592,78.0287474333
k91_19,AY656170,Dengue_virus_type_3_vector_p3(delta30)_complete_sequence_,173,332,504,47.8915662651
k91_14,AY744148,Dengue_virus_type_2_vector_p2_complete_sequence_,3,382,382,99.2146596859
k91_9,AY744148,Dengue_virus_type_2_vector_p2_complete_sequence_,69,244,313,71.7213114754
k91_20,AY744148,Dengue_virus_type_2_vector_p2_complete_sequence_,107,487,592,78.0287474333
k91_19,AY744148,Dengue_virus_type_2_vector_p2_complete_sequence_,173,332,504,47.8915662651
k91_19,DQ322633,YFV_replicon_vector_capsid-def_complete_sequence_,9,497,504,98.1891348089
k91_14,DQ322633,YFV_replicon_vector_capsid-def_complete_sequence_,3,382,382,99.2146596859
k91_19,DQ322634,YFV_replicon_vector_FMDV-2A-def_complete_sequence_,9,497,504,98.1891348089
k91_14,DQ322634,YFV_replicon_vector_FMDV-2A-def_complete_sequence_,3,382,382,99.2146596859
k91_19,DQ322635,YFV_replicon_vector_prME-def_complete_sequence_,9,497,504,98.1891348089
k91_14,DQ322635,YFV_replicon_vector_prME-def_complete_sequence_,3,382,382,99.2146596859
k91_14,DQ322638,VEEV_replicon_vector_YFV-C2_complete_sequence_,3,382,382,99.2146596859
k91_19,DQ322638,VEEV_replicon_vector_YFV-C2_complete_sequence_,8,497,504,98.3903420523
k91_14,DQ322640,VEEV_replicon_vector_YFV-C3opt-NS2mut_complete_sequence_,3,382,382,99.2146596859
k91_19,DQ322640,VEEV_replicon_vector_YFV-C3opt-NS2mut_complete_sequence_,8,497,504,98.3903420523
k91_14,DQ322642,VEEV_replicon_vector_YFV-C3opt_complete_sequence_,3,382,382,99.2146596859
k91_19,DQ322642,VEEV_replicon_vector_YFV-C3opt_complete_sequence_,8,497,504,98.3903420523
k91_17,AF065755,Stealth_virus_1_clone_3B43_T3_,72,343,343,79.0087463557
k91_10,AF065755,Stealth_virus_1_clone_3B43_T3_,277,92,360,-201.086956522
k91_10,AF065755,Stealth_virus_1_clone_3B43_T3_,287,74,360,-287.837837838
k91_10,AF191073,Stealth_virus_1_clone_3B43_genomic_sequence_,304,61,360,-398.360655738
k91_17,AF191073,Stealth_virus_1_clone_3B43_genomic_sequence_,74,340,343,78.2352941176
k91_10,AF191073,Stealth_virus_1_clone_3B43_genomic_sequence_,289,72,360,-301.388888889
k91_10,AF191073,Stealth_virus_1_clone_3B43_genomic_sequence_,277,92,360,-201.086956522
k91_20,HZ385862,JP_2015522581-A/2_COMPLEXES_OF_CYTOMEGALOVIRUS_PROTEINS_,107,487,592,78.0287474333
k91_20,HZ385863,JP_2015522581-A/3_COMPLEXES_OF_CYTOMEGALOVIRUS_PROTEINS_,107,487,592,78.0287474333
k91_20,HZ385864,JP_2015522581-A/4_COMPLEXES_OF_CYTOMEGALOVIRUS_PROTEINS_,107,487,592,78.0287474333
k91_20,HZ385865,JP_2015522581-A/5_COMPLEXES_OF_CYTOMEGALOVIRUS_PROTEINS_,107,487,592,78.0287474333
k91_20,JB980447,Sequence_25_from_Patent_WO2014005959_,107,487,592,78.0287474333
k91_20,JB980448,Sequence_26_from_Patent_WO2014005959_,107,487,592,78.0287474333
k91_20,JB980449,Sequence_27_from_Patent_WO2014005959_,107,487,592,78.0287474333
k91_20,JB980450,Sequence_28_from_Patent_WO2014005959_,107,487,592,78.0287474333
k91_20,LG048542,KR_1020150031322-A/25_COMPLEXES_OF_CYTOMEGALOVIRUS_PROTEINS_,107,487,592,78.0287474333
k91_20,LG048543,KR_1020150031322-A/26_COMPLEXES_OF_CYTOMEGALOVIRUS_PROTEINS_,107,487,592,78.0287474333
k91_20,LG048544,KR_1020150031322-A/27_COMPLEXES_OF_CYTOMEGALOVIRUS_PROTEINS_,107,487,592,78.0287474333
k91_20,LG048545,KR_1020150031322-A/28_COMPLEXES_OF_CYTOMEGALOVIRUS_PROTEINS_,107,487,592,78.0287474333
k91_14,DI175548,KR_1020100011051-A/17_Gene_constructs_comprising_two_or_more_reprogramming-inducing_genes_and_method_for_preparing_induced_pluripotent_stem_cells_using_the_same_,3,382,382,99.2146596859
k91_19,DI175548,KR_1020100011051-A/17_Gene_constructs_comprising_two_or_more_reprogramming-inducing_genes_and_method_for_preparing_induced_pluripotent_stem_cells_using_the_same_,9,497,504,98.1891348089
k91_20,DI175548,KR_1020100011051-A/17_Gene_constructs_comprising_two_or_more_reprogramming-inducing_genes_and_method_for_preparing_induced_pluripotent_stem_cells_using_the_same_,107,487,592,78.0287474333
k91_14,DI175568,KR_1020100011053-A/17_Method_for_preparing_induced_pluripotent_stem_cells_using_herpes_simplex_amplicon_viruses_containing_reprogramming-inducing_genes_,3,382,382,99.2146596859
k91_19,DI175568,KR_1020100011053-A/17_Method_for_preparing_induced_pluripotent_stem_cells_using_herpes_simplex_amplicon_viruses_containing_reprogramming-inducing_genes_,9,497,504,98.1891348089
k91_20,DI175568,KR_1020100011053-A/17_Method_for_preparing_induced_pluripotent_stem_cells_using_herpes_simplex_amplicon_viruses_containing_reprogramming-inducing_genes_,107,487,592,78.0287474333
k91_14,DI175579,KR_1020100011054-A/1_Method_for_producing_viruses_co-packaged_with_two_or_more_target_genes_,3,382,382,99.2146596859
k91_19,DI175579,KR_1020100011054-A/1_Method_for_producing_viruses_co-packaged_with_two_or_more_target_genes_,9,497,504,98.1891348089
k91_20,DI175579,KR_1020100011054-A/1_Method_for_producing_viruses_co-packaged_with_two_or_more_target_genes_,107,487,592,78.0287474333
k91_19,FW333819,HSV-1_AND_HSV-2_VACCINES_AND_METHODS_OF_USE_THEREOF_,8,497,504,98.3903420523
k91_14,FW333819,HSV-1_AND_HSV-2_VACCINES_AND_METHODS_OF_USE_THEREOF_,2,382,382,99.4764397906
k91_20,GM009332,Sequence_4_from_Patent_WO2008011609_,107,487,592,78.0287474333
k91_13,GM009332,Sequence_4_from_Patent_WO2008011609_,0,374,374,100.0
k91_20,GM009334,Sequence_6_from_Patent_WO2008011609_,107,487,592,78.0287474333
k91_13,GM009334,Sequence_6_from_Patent_WO2008011609_,0,374,374,100.0
k91_20,GM009336,Sequence_8_from_Patent_WO2008011609_,107,487,592,78.0287474333
k91_13,GM009336,Sequence_8_from_Patent_WO2008011609_,0,374,374,100.0
k91_19,JA763956,Sequence_1_from_Patent_EP2413963_,8,497,504,98.3903420523
k91_14,JA763956,Sequence_1_from_Patent_EP2413963_,2,382,382,99.4764397906
k91_14,AX453977,Sequence_3_from_Patent_WO0200883_,2,382,382,99.4764397906
k91_14,BD432985,RESCUE_OF_CANINE_DISTEMPER_VIRUS_FROM_cDNA_,2,382,382,99.4764397906
k91_14,DI052120,Rescue_of_Canine_Distemper_Virus_from_cDNA_,2,382,382,99.4764397906
k91_20,GM839825,Sequence_17_from_Patent_WO2008122598_,553,39,592,-1317.94871795
k91_20,GM839825,Sequence_17_from_Patent_WO2008122598_,108,487,592,77.8234086242
k91_19,GM839825,Sequence_17_from_Patent_WO2008122598_,8,497,504,98.3903420523
k91_14,GM839825,Sequence_17_from_Patent_WO2008122598_,2,382,382,99.4764397906
k91_20,GM839826,Sequence_18_from_Patent_WO2008122598_,553,39,592,-1317.94871795
k91_20,GM839826,Sequence_18_from_Patent_WO2008122598_,108,487,592,77.8234086242
k91_19,GM839826,Sequence_18_from_Patent_WO2008122598_,8,497,504,98.3903420523
k91_14,GM839826,Sequence_18_from_Patent_WO2008122598_,2,382,382,99.4764397906
