contig,id,name,identity,alignment_length,contig_length,adjusted_identity
k91_14,MH282431.1,Vector_pAAV-hSyn1-GCaMP6s-P2A-mKate2_complete_sequence,99.476,382.0,382.0,99.476
k91_14,MH282430.1,Vector_pAAV-hSyn1-GAP43-GCaMP6s_complete_sequence,99.476,382.0,382.0,99.476
k91_17,JX462481.1,Uncultured_bacterium_clone_FR2-1_16S_ribosomal_RNA_gene_partial_,98.834,343.0,343.0,98.834
k91_17,KF465014.1,Uncultured_bacterium_clone_DVBSD_M43_16S_ribosomal_RNA_gene_,98.256,344.0,343.0,98.5424606414
k91_17,JF215154.1,Uncultured_bacterium_clone_ncd2493d09c1_16S_ribosomal_RNA_gene_,98.256,344.0,343.0,98.5424606414
k91_17,HM248448.1,Uncultured_bacterium_clone_ncd89b07c1_16S_ribosomal_RNA_gene_,98.256,344.0,343.0,98.5424606414
k91_17,GQ984359.1,Uncultured_gamma_proteobacterium_clone_DBS1h31_16S_ribosomal_,98.256,344.0,343.0,98.5424606414
k91_17,GQ284546.1,Pseudomonas_sp._PCSAS2-27_16S_ribosomal_RNA_gene_partial_sequence,98.256,344.0,343.0,98.5424606414
k91_17,FJ976078.1,Pseudomonas_sp._12aug05_16S_ribosomal_RNA_gene_partial_sequence,98.251,343.0,343.0,98.251
k91_17,FJ436417.1,Pseudomonas_sp._2N-17_16S_ribosomal_RNA_gene_partial_sequence,98.256,344.0,343.0,98.5424606414
k91_17,AM946230.1,Pseudomonas_sp._cxl_partial_16S_rRNA_gene_isolate_cxl,98.256,344.0,343.0,98.5424606414
k91_17,EU097215.1,Uncultured_Pseudomonas_sp._clone_210_16S_ribosomal_RNA_gene_,98.256,344.0,343.0,98.5424606414
k91_19,MG973083.1,Synthetic_construct_other-genetic_sequence,99.6,500.0,504.0,98.8095238095
k91_19,MG973082.1,Synthetic_construct_sequence,99.6,500.0,504.0,98.8095238095
k91_19,MH541819.1,Cloning_vector_pPTbsr_complete_sequence,99.6,500.0,504.0,98.8095238095
k91_19,MH488950.1,Cloning_vector_pWAS-anti-fadR-anti-xapR_complete_sequence,99.799,497.0,504.0,98.4129027778
k91_19,MH488950.1,Cloning_vector_pWAS-anti-fadR-anti-xapR_complete_sequence,100.0,131.0,504.0,25.9920634921
k91_19,MH488949.1,Cloning_vector_pWAS-anti-yfiD-anti-purB_complete_sequence,99.799,497.0,504.0,98.4129027778
k91_19,MH488949.1,Cloning_vector_pWAS-anti-yfiD-anti-purB_complete_sequence,100.0,131.0,504.0,25.9920634921
k91_19,MH488948.1,Cloning_vector_pWAS-anti-pabA_complete_sequence,99.799,497.0,504.0,98.4129027778
k91_19,MH488948.1,Cloning_vector_pWAS-anti-pabA_complete_sequence,100.0,131.0,504.0,25.9920634921
k91_19,MH488912.1,Cloning_vector_pWAS_complete_sequence,99.799,497.0,504.0,98.4129027778
k91_19,MH488912.1,Cloning_vector_pWAS_complete_sequence,100.0,131.0,504.0,25.9920634921
k91_19,MH282432.1,Vector_pAAV-hSyn1-GCaMP6s-P2A-mRuby3_complete_sequence,99.799,497.0,504.0,98.4129027778
k91_19,MH282431.1,Vector_pAAV-hSyn1-GCaMP6s-P2A-mKate2_complete_sequence,99.799,497.0,504.0,98.4129027778
k91_19,MH282430.1,Vector_pAAV-hSyn1-GAP43-GCaMP6s_complete_sequence,99.799,497.0,504.0,98.4129027778
k91_20,MH697728.1,Cloning_vector_pMM24_complete_sequence,99.589,487.0,592.0,81.925410473
k91_20,MH697727.1,Cloning_vector_pMM23_complete_sequence,99.589,487.0,592.0,81.925410473
k91_20,MH697726.1,Cloning_vector_pMM22_complete_sequence,99.589,487.0,592.0,81.925410473
k91_20,MH697725.1,Cloning_vector_pMM21_complete_sequence,99.589,487.0,592.0,81.925410473
k91_20,MH697724.1,Cloning_vector_pJW24_complete_sequence,99.589,487.0,592.0,81.925410473
k91_20,MH697723.1,Cloning_vector_pJW20_complete_sequence,99.589,487.0,592.0,81.925410473
k91_20,MH697722.1,Cloning_vector_pNOV146_complete_sequence,99.589,487.0,592.0,81.925410473
k91_20,MH697721.1,Cloning_vector_pNOV145_complete_sequence,99.589,487.0,592.0,81.925410473
k91_20,MG973083.1,Synthetic_construct_other-genetic_sequence,99.589,487.0,592.0,81.925410473
k91_20,MG973083.1,Synthetic_construct_other-genetic_sequence,100.0,39.0,592.0,6.58783783784
k91_20,MG973082.1,Synthetic_construct_sequence,99.589,487.0,592.0,81.925410473
k91_20,MG973082.1,Synthetic_construct_sequence,100.0,39.0,592.0,6.58783783784
