contig,id,name,identity,alignment_length,contig_length,adjusted_identity
k81_25,AF329446.1,Expression_vector_pWSMV-S1RN_complete_sequence,99.797,987.0,1168.0,84.3318827055
k81_25,KX576684.1,Zika_virus_vector_pZIKV-ICD_complete_sequence,99.797,987.0,1168.0,84.3318827055
k81_25,JQ899055.1,Salmonella_enterica_subsp._enterica_serovar_Infantis_strain_Tc_34/13_,99.898,983.0,1168.0,84.075114726
k81_25,JQ899055.1,Salmonella_enterica_subsp._enterica_serovar_Infantis_strain_Tc_34/13_,100.0,38.0,1168.0,3.25342465753
k81_25,AB513495.1,Cloning_vector_pYT923hyg_DNA_complete_sequence,99.797,987.0,1168.0,84.3318827055
k81_25,AB513495.1,Cloning_vector_pYT923hyg_DNA_complete_sequence,100.0,467.0,1168.0,39.9828767123
k81_25,EU530625.1,Cloning_vector_pWSTK6_complete_sequence,99.797,987.0,1168.0,84.3318827055
k81_34,LN794158.1,Candidatus_Methylopumilus_turicensis_genome_assembly_Candidatus_,94.779,249.0,253.0,93.2805177866
k81_34,LN794158.1,Candidatus_Methylopumilus_turicensis_genome_assembly_Candidatus_,94.779,249.0,253.0,93.2805177866
k81_34,NR_103094.1,Methylotenera_mobilis_strain_JLW8_23S_ribosomal_RNA_gene_complete_,94.779,249.0,253.0,93.2805177866
k81_34,CP001672.1,Methylotenera_mobilis_JLW8_complete_genome,94.779,249.0,253.0,93.2805177866
k81_34,CP001672.1,Methylotenera_mobilis_JLW8_complete_genome,94.779,249.0,253.0,93.2805177866
k81_34,NR_076756.1,Methylotenera_versatilis_strain_301_23S_ribosomal_RNA_gene_complete_,94.378,249.0,253.0,92.8858577075
k81_34,CP002056.1,Methylotenera_versatilis_301_complete_genome,94.378,249.0,253.0,92.8858577075
k81_34,CP002056.1,Methylotenera_versatilis_301_complete_genome,94.378,249.0,253.0,92.8858577075
k81_34,CP002056.1,Methylotenera_versatilis_301_complete_genome,94.378,249.0,253.0,92.8858577075
k81_34,CP031124.1,Hydromonas_sp._F02_chromosome_complete_genome,93.6,250.0,253.0,92.4901185771
k81_34,CP031124.1,Hydromonas_sp._F02_chromosome_complete_genome,93.6,250.0,253.0,92.4901185771
k81_34,CP031124.1,Hydromonas_sp._F02_chromosome_complete_genome,93.6,250.0,253.0,92.4901185771
k81_34,CP031124.1,Hydromonas_sp._F02_chromosome_complete_genome,93.6,250.0,253.0,92.4901185771
k81_34,CP024608.1,Massilia_violaceinigra_strain_B2_chromosome,93.625,251.0,253.0,92.8848814229
k81_34,CP024608.1,Massilia_violaceinigra_strain_B2_chromosome,93.625,251.0,253.0,92.8848814229
k81_34,CP024608.1,Massilia_violaceinigra_strain_B2_chromosome,93.625,251.0,253.0,92.8848814229
k81_34,CP024608.1,Massilia_violaceinigra_strain_B2_chromosome,93.625,251.0,253.0,92.8848814229
k81_34,CP024608.1,Massilia_violaceinigra_strain_B2_chromosome,93.227,251.0,253.0,92.490027668
k81_34,CP024608.1,Massilia_violaceinigra_strain_B2_chromosome,93.227,251.0,253.0,92.490027668
k81_34,NR_076374.1,Nitrosospira_multiformis_strain_C-71_23S_ribosomal_RNA_gene_,93.625,251.0,253.0,92.8848814229
k81_34,CP000103.1,Nitrosospira_multiformis_ATCC_25196_complete_genome,93.625,251.0,253.0,92.8848814229
k81_34,CP021106.3,Nitrosospira_lacus_strain_APG3_complete_genome,93.6,250.0,253.0,92.4901185771
k81_43,CP030876.1,Klebsiella_pneumoniae_strain_JNM10C3_plasmid_pKJNM10C3.1,100.0,266.0,266.0,100.0
k81_43,CP027699.1,Klebsiella_pneumoniae_strain_KP30835_plasmid_unnamed4_complete_,100.0,266.0,266.0,100.0
k81_43,CP027699.1,Klebsiella_pneumoniae_strain_KP30835_plasmid_unnamed4_complete_,100.0,266.0,266.0,100.0
k81_43,CP029631.1,Escherichia_coli_strain_ST410_plasmid_p2189-NDM_complete_sequence,100.0,266.0,266.0,100.0
k81_43,CP029631.1,Escherichia_coli_strain_ST410_plasmid_p2189-NDM_complete_sequence,100.0,266.0,266.0,100.0
k81_43,AP018755.1,Klebsiella_pneumoniae_KP67_plasmid_pKP6702_DNA_complete_genome,100.0,266.0,266.0,100.0
k81_43,AP018755.1,Klebsiella_pneumoniae_KP67_plasmid_pKP6702_DNA_complete_genome,100.0,266.0,266.0,100.0
k81_43,AP018752.1,Klebsiella_pneumoniae_KP64_plasmid_pKP6402_DNA_complete_genome,100.0,266.0,266.0,100.0
k81_43,AP018752.1,Klebsiella_pneumoniae_KP64_plasmid_pKP6402_DNA_complete_genome,100.0,266.0,266.0,100.0
k81_43,AP018748.1,Klebsiella_pneumoniae_KP33_plasmid_pKP3301_DNA_complete_genome,100.0,266.0,266.0,100.0
k81_43,AP018748.1,Klebsiella_pneumoniae_KP33_plasmid_pKP3301_DNA_complete_genome,100.0,266.0,266.0,100.0
k81_43,CP030345.1,Enterobacter_cloacae_strain_AR_038_plasmid_unnamed1,100.0,266.0,266.0,100.0
k81_43,CP030345.1,Enterobacter_cloacae_strain_AR_038_plasmid_unnamed1,100.0,266.0,266.0,100.0
k81_43,CP030345.1,Enterobacter_cloacae_strain_AR_038_plasmid_unnamed1,99.438,178.0,266.0,66.5412180451
k81_43,CP030345.1,Enterobacter_cloacae_strain_AR_038_plasmid_unnamed1,99.438,178.0,266.0,66.5412180451
k81_43,CP030335.1,Escherichia_coli_strain_AR_451_plasmid_unnamed1_complete_sequence,100.0,266.0,266.0,100.0
k81_43,CP030335.1,Escherichia_coli_strain_AR_451_plasmid_unnamed1_complete_sequence,100.0,266.0,266.0,100.0
k81_43,CP030342.1,Klebsiella_pneumoniae_strain_AR_362_plasmid_unnamed2_complete_,100.0,266.0,266.0,100.0
k81_43,CP022612.1,Klebsiella_pneumoniae_strain_CDC_0106_plasmid_unitig_1_complete_,100.0,266.0,266.0,100.0
k81_43,CP022612.1,Klebsiella_pneumoniae_strain_CDC_0106_plasmid_unitig_1_complete_,100.0,266.0,266.0,100.0
k81_44,JF185740.1,Uncultured_bacterium_clone_ncd2161f11c1_16S_ribosomal_RNA_gene_,99.478,383.0,383.0,99.478
k81_44,JF181034.1,Uncultured_bacterium_clone_ncd2163h11c1_16S_ribosomal_RNA_gene_,99.478,383.0,383.0,99.478
k81_44,NR_157613.1,Nocardioides_litoris_strain_002-2_16S_ribosomal_RNA_partial_,99.217,383.0,383.0,99.217
k81_44,KY244027.1,Nocardioides_litoris_strain_002-2_16S_ribosomal_RNA_gene_partial_,99.217,383.0,383.0,99.217
k81_44,KJ184935.1,Nocardioides_sp._CZGSY3_16S_ribosomal_RNA_gene_partial_sequence,99.217,383.0,383.0,99.217
k81_44,JF199103.1,Uncultured_bacterium_clone_ncd2325a05c1_16S_ribosomal_RNA_gene_,99.217,383.0,383.0,99.217
k81_44,JF177047.1,Uncultured_bacterium_clone_ncd2053g07c1_16S_ribosomal_RNA_gene_,99.217,383.0,383.0,99.217
k81_44,JF096723.1,Uncultured_bacterium_clone_ncd1313h06c1_16S_ribosomal_RNA_gene_,99.217,383.0,383.0,99.217
k81_44,JF096693.1,Uncultured_bacterium_clone_ncd1314c12c1_16S_ribosomal_RNA_gene_,99.217,383.0,383.0,99.217
k81_44,HM276859.1,Uncultured_bacterium_clone_ncd529h06c1_16S_ribosomal_RNA_gene_,99.217,383.0,383.0,99.217
